sample_id	tool	threads	group_set_baseline	group_set_compare	elapsed_sec_full_groups	elapsed_sec_groups10	elapsed_ratio_groups10_over_full	max_rss_kb_full_groups	max_rss_kb_groups10	max_rss_ratio_groups10_over_full
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep83	piawka	1	syn_groups.tsv	syn_groups_10.tsv	40.218	8.393	0.20868765229499228	24112.0	23504.0	0.9747843397478434
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep83	pixy	1	syn_groups.tsv	syn_groups_10.tsv	9.56	8.402	0.8788702928870291	516640.0	502496.0	0.9726231031279033
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep92	piawka	1	syn_groups.tsv	syn_groups_10.tsv	41.471	8.371	0.20185189650599217	24608.0	24320.0	0.988296488946684
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep92	pixy	1	syn_groups.tsv	syn_groups_10.tsv	9.518	8.389	0.8813826434124815	503472.0	496496.0	0.9861442145739981
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep94	piawka	1	syn_groups.tsv	syn_groups_10.tsv	41.0	8.316	0.20282926829268294	24240.0	24240.0	1.0
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep94	pixy	1	syn_groups.tsv	syn_groups_10.tsv	9.566	8.081	0.8447627012335354	510656.0	500560.0	0.980229352049129
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep95	piawka	1	syn_groups.tsv	syn_groups_10.tsv	39.965	8.079	0.20215188289753533	24336.0	23904.0	0.9822485207100592
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep95	pixy	1	syn_groups.tsv	syn_groups_10.tsv	8.974	8.079	0.9002674392689994	485328.0	478736.0	0.9864174331586062
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep96	piawka	1	syn_groups.tsv	syn_groups_10.tsv	40.232	8.321	0.2068254126068801	23648.0	23520.0	0.9945872801082544
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep96	pixy	1	syn_groups.tsv	syn_groups_10.tsv	9.19	8.361	0.9097932535364528	503328.0	502768.0	0.9988874054294615
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep97	piawka	1	syn_groups.tsv	syn_groups_10.tsv	40.048	8.282	0.20680183779464642	24080.0	23888.0	0.9920265780730897
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep97	pixy	1	syn_groups.tsv	syn_groups_10.tsv	9.245	8.338	0.9018929150892374	508256.0	505696.0	0.9949631681672229
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep98	piawka	1	syn_groups.tsv	syn_groups_10.tsv	39.14	8.048	0.2056208482370976	23952.0	23744.0	0.991315965263861
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep98	pixy	1	syn_groups.tsv	syn_groups_10.tsv	8.926	8.102	0.907685413399059	495136.0	494592.0	0.9989013119627739
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep99	piawka	1	syn_groups.tsv	syn_groups_10.tsv	39.168	8.046	0.20542279411764705	24336.0	24080.0	0.9894806048652203
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep99	pixy	1	syn_groups.tsv	syn_groups_10.tsv	8.934	8.122	0.909111260353705	497280.0	498592.0	1.0026383526383527
