group	tool	fold_id	fold_mean_pi
MIX Sibiryakov Island	pixy	64	0.0032721407973029556
MIX Sibiryakov Island	piawka	65	0.006554163131313131
MIX Sibiryakov Island	pixy	65	0.0032708999199906343
MIX Sibiryakov Island	piawka	66	0.006531101111111111
MIX Sibiryakov Island	pixy	66	0.003254544753432321
MIX Sibiryakov Island	piawka	67	0.006567860303030303
MIX Sibiryakov Island	pixy	67	0.003274964576950989
MIX Sibiryakov Island	piawka	68	0.00658290191919192
MIX Sibiryakov Island	pixy	68	0.0032819637003925033
MIX Sibiryakov Island	piawka	69	0.006579486464646464
MIX Sibiryakov Island	pixy	69	0.0032841320946826766
MIX Sibiryakov Island	piawka	70	0.006555562626262626
MIX Sibiryakov Island	pixy	70	0.0032676896449247636
MIX Sibiryakov Island	piawka	71	0.006577913131313132
MIX Sibiryakov Island	pixy	71	0.0032771126527335764
MIX Sibiryakov Island	piawka	72	0.006576219090909091
MIX Sibiryakov Island	pixy	72	0.0032850672980820183
MIX Sibiryakov Island	piawka	73	0.00655690303030303
MIX Sibiryakov Island	pixy	73	0.0032735674403598617
MIX Sibiryakov Island	piawka	74	0.006551629898989899
MIX Sibiryakov Island	pixy	74	0.0032710906705297497
MIX Sibiryakov Island	piawka	75	0.0065434950505050505
MIX Sibiryakov Island	pixy	75	0.0032634005332837957
MIX Sibiryakov Island	piawka	76	0.006557873333333334
MIX Sibiryakov Island	pixy	76	0.0032715322888436636
MIX Sibiryakov Island	piawka	77	0.0065790053535353535
MIX Sibiryakov Island	pixy	77	0.0032831222963234513
MIX Sibiryakov Island	piawka	78	0.006577808484848484
MIX Sibiryakov Island	pixy	78	0.0032827094183737766
MIX Sibiryakov Island	piawka	79	0.006562964848484848
MIX Sibiryakov Island	pixy	79	0.0032669977649645698
MIX Sibiryakov Island	piawka	80	0.006570730101010101
MIX Sibiryakov Island	pixy	80	0.0032705679022584475
MIX Sibiryakov Island	piawka	81	0.006554780101010101
MIX Sibiryakov Island	pixy	81	0.0032788063611968194
MIX Sibiryakov Island	piawka	82	0.006521379393939394
MIX Sibiryakov Island	pixy	82	0.00323956957668718
MIX Sibiryakov Island	piawka	83	0.006568571111111111
MIX Sibiryakov Island	pixy	83	0.003285488381246691
MIX Sibiryakov Island	piawka	84	0.006559023131313131
MIX Sibiryakov Island	pixy	84	0.003273289580091884
MIX Sibiryakov Island	piawka	85	0.006568872323232323
MIX Sibiryakov Island	pixy	85	0.0032699767734800994
MIX Sibiryakov Island	piawka	86	0.006512991919191919
MIX Sibiryakov Island	pixy	86	0.0032441902876219233
MIX Sibiryakov Island	piawka	87	0.006515356565656566
MIX Sibiryakov Island	pixy	87	0.0032587246164309538
MIX Sibiryakov Island	piawka	88	0.006573377272727272
MIX Sibiryakov Island	pixy	88	0.0032817558459698223
MIX Sibiryakov Island	piawka	89	0.006582260303030303
MIX Sibiryakov Island	pixy	89	0.003292573595228785
MIX Sibiryakov Island	piawka	90	0.006550331111111111
MIX Sibiryakov Island	pixy	90	0.0032687538142501475
MIX Sibiryakov Island	piawka	91	0.006515724747474747
MIX Sibiryakov Island	pixy	91	0.0032374643555866506
MIX Sibiryakov Island	piawka	92	0.006456921212121212
MIX Sibiryakov Island	pixy	92	0.0032188261751264122
MIX Sibiryakov Island	piawka	93	0.00657321898989899
MIX Sibiryakov Island	pixy	93	0.003267841723255678
MIX Sibiryakov Island	piawka	94	0.006533727575757576
MIX Sibiryakov Island	pixy	94	0.0032524307026874483
MIX Sibiryakov Island	piawka	95	0.006489077777777778
MIX Sibiryakov Island	pixy	95	0.003252893709330604
MIX Sibiryakov Island	piawka	96	0.006424973737373737
MIX Sibiryakov Island	pixy	96	0.0032021093417386503
MIX Sibiryakov Island	piawka	97	0.006512231313131313
MIX Sibiryakov Island	pixy	97	0.0032580032444671013
MIX Sibiryakov Island	piawka	98	0.006572185252525253
MIX Sibiryakov Island	pixy	98	0.0032636777027818097
MIX Sibiryakov Island	piawka	99	0.006581732727272727
MIX Sibiryakov Island	pixy	99	0.003284020950383717
MIX Sibiryakov Island	piawka	100	0.006555401515151515
MIX Sibiryakov Island	pixy	100	0.0032637319768544304
MIX Central Siberia	piawka	1	0.007187243939393939
MIX Central Siberia	pixy	1	0.0025231674140363215
MIX Central Siberia	piawka	2	0.007186737878787879
MIX Central Siberia	pixy	2	0.0025258926333723434
MIX Central Siberia	piawka	3	0.007232072222222222
MIX Central Siberia	pixy	3	0.002538669658724429
MIX Central Siberia	piawka	4	0.007245231616161616
MIX Central Siberia	pixy	4	0.002530586095053731
MIX Central Siberia	piawka	5	0.007268460101010101
MIX Central Siberia	pixy	5	0.0025452124670181926
MIX Central Siberia	piawka	6	0.007237104747474747
MIX Central Siberia	pixy	6	0.0025430812063529464
MIX Central Siberia	piawka	7	0.007246930303030303
MIX Central Siberia	pixy	7	0.002540808224382284
MIX Central Siberia	piawka	8	0.007201296464646465
MIX Central Siberia	pixy	8	0.0025335708043854213
MIX Central Siberia	piawka	9	0.0071911904040404045
