sample_id	n_overlap	mean_abs_diff	max_abs_diff	mean_rel_diff	max_rel_diff
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep11	1	0.0018839999999999968	0.0018839999999999968	0.011259592168487466	0.011259592168487466
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep12	1	0.001919000000000004	0.001919000000000004	0.011196228638774331	0.011196228638774331
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep13	1	0.001923000000000008	0.001923000000000008	0.011658643644432637	0.011658643644432637
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep14	1	0.0019490000000000063	0.0019490000000000063	0.011781845439597679	0.011781845439597679
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep15	1	0.001907999999999993	0.001907999999999993	0.011572122586866691	0.011572122586866691
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep16	1	0.001911999999999997	0.001911999999999997	0.011501720445631494	0.011501720445631494
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep17	1	0.001909999999999995	0.001909999999999995	0.0114276825138508	0.0114276825138508
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep18	1	0.0019590000000000163	0.0019590000000000163	0.011848240908183793	0.011848240908183793
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep19	1	0.0019199999999999773	0.0019199999999999773	0.011610890047290049	0.011610890047290049
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep20	1	0.0018729999999999858	0.0018729999999999858	0.011411060138053635	0.011411060138053635
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep21	1	0.0019000000000000128	0.0019000000000000128	0.011533115215821083	0.011533115215821083
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep22	1	0.0019450000000000023	0.0019450000000000023	0.012043194511523091	0.012043194511523091
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep23	1	0.0018819999999999948	0.0018819999999999948	0.011591667795858502	0.011591667795858502
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep24	1	0.0019379999999999953	0.0019379999999999953	0.011762920700433948	0.011762920700433948
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep25	1	0.0019419999999999993	0.0019419999999999993	0.011820417305772645	0.011820417305772645
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep26	1	0.001907999999999993	0.001907999999999993	0.011531209205627769	0.011531209205627769
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep27	1	0.0019219999999999793	0.0019219999999999793	0.011505192900541613	0.011505192900541613
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep28	1	0.001934000000000019	0.001934000000000019	0.011505467179078487	0.011505467179078487
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep29	1	0.001901999999999987	0.001901999999999987	0.011642854519410798	0.011642854519410798
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep30	1	0.001913999999999999	0.001913999999999999	0.011656800409266968	0.011656800409266968
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep31	1	0.001908999999999994	0.001908999999999994	0.011662644713932212	0.011662644713932212
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep32	1	0.0019529999999999825	0.0019529999999999825	0.01185986773788042	0.01185986773788042
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep33	1	0.0019879999999999898	0.0019879999999999898	0.01195861405197299	0.01195861405197299
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep34	1	0.0018960000000000088	0.0018960000000000088	0.011453217593012141	0.011453217593012141
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep35	1	0.0018020000000000258	0.0018020000000000258	0.010842358604091612	0.010842358604091612
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep36	1	0.0019389999999999963	0.0019389999999999963	0.011436559241258885	0.011436559241258885
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep37	1	0.0019699999999999995	0.0019699999999999995	0.01162529948423798	0.01162529948423798
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep38	1	0.0019730000000000025	0.0019730000000000025	0.01208746102054196	0.01208746102054196
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep39	1	0.0018289999999999973	0.0018289999999999973	0.010947572559840529	0.010947572559840529
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep40	1	0.001810000000000006	0.001810000000000006	0.011182572485929148	0.011182572485929148
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep41	1	0.0018710000000000115	0.0018710000000000115	0.011284952592342466	0.011284952592342466
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep42	1	0.0019040000000000168	0.0019040000000000168	0.01151900878445428	0.01151900878445428
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep43	1	0.0018630000000000035	0.0018630000000000035	0.011296865620054232	0.011296865620054232
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep44	1	0.0019060000000000188	0.0019060000000000188	0.01148109775196985	0.01148109775196985
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep45	1	0.0018789999999999918	0.0018789999999999918	0.011453057094617195	0.011453057094617195
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep46	1	0.0018519999999999925	0.0018519999999999925	0.011049460056082528	0.011049460056082528
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep47	1	0.0018869999999999998	0.0018869999999999998	0.011501959660853715	0.011501959660853715
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep48	1	0.001918000000000003	0.001918000000000003	0.011715695856137626	0.011715695856137626
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep49	1	0.0018869999999999998	0.0018869999999999998	0.011214253452825253	0.011214253452825253
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep52	1	0.001908999999999994	0.001908999999999994	0.01164670640416325	0.01164670640416325
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep55	1	0.0019120000000000248	0.0019120000000000248	0.011669779421638072	0.011669779421638072
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep56	1	0.0019450000000000023	0.0019450000000000023	0.011650613379336797	0.011650613379336797
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep57	1	0.0019770000000000065	0.0019770000000000065	0.011951829953933806	0.011951829953933806
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep60	1	0.0018360000000000043	0.0018360000000000043	0.011323477713841682	0.011323477713841682
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep61	1	0.001804	0.001804	0.010690750485943205	0.010690750485943205
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep62	1	0.0020100000000000118	0.0020100000000000118	0.01218506753316043	0.01218506753316043
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep63	1	0.0018520000000000203	0.0018520000000000203	0.011167255580612996	0.011167255580612996
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep64	1	0.0019319999999999893	0.0019319999999999893	0.011693570352078086	0.011693570352078086
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep65	1	0.0019990000000000008	0.0019990000000000008	0.01182035892735713	0.01182035892735713
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep67	1	0.0019329999999999903	0.0019329999999999903	0.011705857773525202	0.011705857773525202
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep69	1	0.0018199999999999883	0.0018199999999999883	0.011028498366933825	0.011028498366933825
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep70	1	0.0019730000000000025	0.0019730000000000025	0.011944906916906327	0.011944906916906327
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep71	1	0.001915	0.001915	0.011579322896826116	0.011579322896826116
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep72	1	0.0018960000000000088	0.0018960000000000088	0.011576010306068302	0.011576010306068302
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep82	1	0.001917000000000002	0.001917000000000002	0.01139714625445899	0.01139714625445899
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep83	1	0.0019239999999999813	0.0019239999999999813	0.011492605070126283	0.011492605070126283
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep92	1	0.0019309999999999883	0.0019309999999999883	0.011806498159629164	0.011806498159629164
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep94	1	0.001912999999999998	0.001912999999999998	0.011358575932644166	0.011358575932644166
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep95	1	0.001807000000000003	0.001807000000000003	0.010810131731655098	0.010810131731655098
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep96	1	0.0019399999999999973	0.0019399999999999973	0.011830783210045171	0.011830783210045171
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep97	1	0.0020840000000000025	0.0020840000000000025	0.012576870387022423	0.012576870387022423
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep98	1	0.0018360000000000043	0.0018360000000000043	0.01101009858715731	0.01101009858715731
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep99	1	0.0019369999999999943	0.0019369999999999943	0.011769209269543415	0.011769209269543415
