sample_id	tool	threads	window_set_baseline	window_set_compare	elapsed_sec_syn_win	elapsed_sec_syn_win_threads8	elapsed_ratio_threads8_over_syn_win	max_rss_kb_syn_win	max_rss_kb_syn_win_threads8	max_rss_ratio_threads8_over_syn_win
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep23	pixy	1	syn_win.bed	syn_win_threads8.bed	8.95	12.998	1.4522905027932962	507216.0	186832.0	0.3683480016403268
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep24	piawka	1	syn_win.bed	syn_win_threads8.bed	40.327	39.776	0.9863366974979544	23744.0	24144.0	1.016846361185984
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep24	pixy	1	syn_win.bed	syn_win_threads8.bed	9.461	12.945	1.3682485995137934	509712.0	183952.0	0.3608939950403365
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep25	piawka	1	syn_win.bed	syn_win_threads8.bed	38.897	40.005	1.0284854873126463	23616.0	24736.0	1.0474254742547426
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep25	pixy	1	syn_win.bed	syn_win_threads8.bed	9.283	13.016	1.4021329311644943	498832.0	205632.0	0.412226962183661
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep26	piawka	1	syn_win.bed	syn_win_threads8.bed	41.007	40.728	0.9931962835613433	24320.0	24976.0	1.0269736842105264
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep26	pixy	1	syn_win.bed	syn_win_threads8.bed	9.198	13.272	1.4429223744292237	503808.0	186240.0	0.3696646341463415
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep27	piawka	1	syn_win.bed	syn_win_threads8.bed	40.031	40.008	0.9994254452799082	24160.0	24576.0	1.0172185430463576
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep27	pixy	1	syn_win.bed	syn_win_threads8.bed	9.262	13.076	1.4117901101274022	506800.0	197520.0	0.3897395422257301
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep28	piawka	1	syn_win.bed	syn_win_threads8.bed	39.725	39.81	1.0021397105097545	23760.0	24624.0	1.0363636363636364
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep28	pixy	1	syn_win.bed	syn_win_threads8.bed	9.587	12.836	1.338896422238448	507312.0	172656.0	0.3403349418109566
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep29	piawka	1	syn_win.bed	syn_win_threads8.bed	39.921	39.672	0.9937626812955587	23968.0	24784.0	1.034045393858478
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep29	pixy	1	syn_win.bed	syn_win_threads8.bed	9.228	12.952	1.4035543996532294	514432.0	168800.0	0.3281288877830306
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep30	piawka	1	syn_win.bed	syn_win_threads8.bed	39.998	39.36	0.9840492024601231	24192.0	24144.0	0.998015873015873
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep30	pixy	1	syn_win.bed	syn_win_threads8.bed	9.312	12.721	1.3660867697594503	503744.0	182352.0	0.3619933934696989
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep31	piawka	1	syn_win.bed	syn_win_threads8.bed	39.801	39.963	1.0040702494912188	23584.0	24448.0	1.0366350067842605
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep31	pixy	1	syn_win.bed	syn_win_threads8.bed	9.299	12.868	1.3838047101838908	498544.0	160592.0	0.3221220193202606
