sample_id	source_class	missing_rate	piawka_pi	pixy_pi	piawka_theta_w	pixy_theta_w	piawka_theta_low	piawka_pi_minus_theta_w	pixy_pi_minus_theta_w	piawka_pi_minus_theta_low	piawka_theta_w_rel_to_nomiss	pixy_theta_w_rel_to_nomiss	piawka_pi_minus_theta_w_rel_to_nomiss	pixy_pi_minus_theta_w_rel_to_nomiss	piawka_pi_minus_theta_low_rel_to_nomiss
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep21	onepop	0.0	0.164743	0.1646161256507607	0.170116	0.1702698332144599	0.17257	-0.005372999999999989	-0.005653707563699206	-0.007827	1.0	1.0	1.0	1.0	1.0
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep22	onepop	0.0	0.161502	0.1613858449767268	0.170118	0.1702698332144599	0.1664	-0.008615999999999985	-0.008883988237733093	-0.004897999999999986	1.0	1.0	1.0	1.0	1.0
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep23	onepop	0.0	0.162358	0.1622427937196195	0.170058	0.17026983321446	0.168567	-0.007699999999999985	-0.008027039494840488	-0.006208999999999992	1.0	1.0	1.0	1.0	1.0
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep24	onepop	0.0	0.164755	0.1646291456125445	0.170079	0.1702698332144599	0.172377	-0.005323999999999995	-0.005640687601915412	-0.00762199999999999	1.0	1.0	1.0	1.0	1.0
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep25	onepop	0.0	0.164292	0.1641963341986647	0.170018	0.1702698332144599	0.171129	-0.005726000000000009	-0.0060734990157952085	-0.00683700000000001	1.0	1.0	1.0	1.0	1.0
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep26	onepop	0.0	0.165464	0.1653760345783481	0.170081	0.1702698332144599	0.171106	-0.00461700000000001	-0.004893798636111807	-0.005642000000000008	1.0	1.0	1.0	1.0	1.0
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep27	onepop	0.0	0.167055	0.1669590504948594	0.170124	0.1702698332144599	0.174484	-0.0030689999999999884	-0.0033107827196005024	-0.007428999999999991	1.0	1.0	1.0	1.0	1.0
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep28	onepop	0.0	0.168094	0.1679750572266265	0.170144	0.1702698332144599	0.176033	-0.0020499999999999963	-0.0022947759878333973	-0.007939000000000002	1.0	1.0	1.0	1.0	1.0
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep29	onepop	0.0	0.163362	0.1632517144321235	0.170108	0.1702698332144599	0.167958	-0.006746000000000002	-0.007018118782336408	-0.004595999999999989	1.0	1.0	1.0	1.0	1.0
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep30	onepop	0.0	0.164196	0.1640843786867558	0.170128	0.1702698332144599	0.167486	-0.005931999999999993	-0.0061854545277041095	-0.0032899999999999874	1.0	1.0	1.0	1.0	1.0
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep31	onepop	0.0	0.163685	0.1635939420364875	0.170079	0.1702698332144599	0.17219	-0.006394000000000011	-0.006675891177972404	-0.008505000000000013	1.0	1.0	1.0	1.0	1.0
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep32	onepop	0.0	0.164673	0.1645628359268613	0.170172	0.1702698332144599	0.169279	-0.005498999999999976	-0.005706997287598603	-0.004605999999999999	1.0	1.0	1.0	1.0	1.0
